layer1_category,layer2_category,layer3_category,distinct_users,calculated_at,black_users,white_users,pink_users,weak_white,good_white,best_white,weak_black,good_black,best_black,weak_pink,good_pink,best_pink,stat_level,scored_users,p33,p66
مصرف‌کنندگان کسب‌وکارهای B2C,خدمات حقوقی و قضایی,خدمات حقوقی و قضایی,524752,2026-07-14 15:04:50.156494 +00:00,300619,189640,34493,139446,18669,31525,25272,52925,222422,4594,0,29899,layer2,524752,25.6,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,خرید سوپرمارکت آنلاین,خرید سوپرمارکت آنلاین,706872,2026-07-14 15:04:50.156494 +00:00,403041,292111,11720,98279,155123,38709,22420,104934,275687,0,0,11720,layer2,706872,24,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,تأمین و توزیع کالاهای تندمصرف,تأمین و توزیع کالاهای تندمصرف,7382,2026-07-14 15:04:50.156494 +00:00,3878,2998,506,1963,723,312,341,1819,1718,0,0,506,layer2,7382,26.4,31.2
مصرف‌کنندگان کسب‌وکارهای B2C,خدمات سفر و گردشگری (اقامت/تور/ویزا/بلیت),خدمات سفر و گردشگری (اقامت/تور/ویزا/بلیت),6314182,2026-07-14 15:04:50.156494 +00:00,3117969,2573545,622668,1098264,1116140,359141,449390,642871,2025708,159,275818,346691,layer2,6314182,24,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,خدمات پزشکی و تصویربرداری,خدمات پزشکی و تصویربرداری,10883293,2026-07-14 15:04:50.156494 +00:00,6196492,3839265,847536,1359639,1824177,655449,761592,1191612,4243288,101,206461,640974,layer2,10883293,24,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,خدمات خودرو (قطعه/تعمیر/نگهداری),خدمات خودرو (قطعه/تعمیر/نگهداری),1730950,2026-07-14 15:04:50.156494 +00:00,1098065,533962,98923,398410,51764,83788,127609,222136,748320,17,24236,74670,layer2,1730950,24.8,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,سایر موارد بر اساس ویژگی‌های جمعیتی,فرهنگیان,351959,2026-07-14 15:04:50.156494 +00:00,239665,110595,1699,87141,4714,18740,25589,27657,186419,0,0,1699,layer3,351959,28,29.6
مصرف‌کنندگان کسب‌وکارهای B2B,تأمین و توزیع کالاهای تندمصرف,تأمین و توزیع کالاهای تندمصرف,795187,2026-07-14 15:04:50.156494 +00:00,460991,283596,50600,205743,24883,52970,48538,77759,334694,4,11510,39086,layer2,795187,24.8,29.6
مصرف‌کنندگان کسب‌وکارهای B2B,مدیران کسب و کارها و اصناف,مدیران کسب و کارها و اصناف,836360,2026-07-14 15:04:50.156494 +00:00,500894,277930,57536,205152,24987,47791,50244,94755,355895,6,13841,43689,layer2,836360,24.8,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,سایر موارد بر اساس ویژگی‌های جمعیتی,سرپرستان خانوار,15207498,2026-07-14 15:04:50.156494 +00:00,9064509,5223599,919390,2094808,2325926,802865,1360465,1741075,5962969,135,233441,685814,layer3,15207498,24,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,خرید حضوری کالا,خرید حضوری کالا,71723,2026-07-14 15:04:50.156494 +00:00,40848,27448,3427,8217,16254,2977,1103,9944,29801,0,0,3427,layer2,71723,24,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,علاقه‌مندان به محتوای ورزشی,علاقه‌مندان به محتوای ورزشی,966507,2026-07-14 15:04:50.156494 +00:00,506894,374671,84942,139866,162754,72051,64288,95277,347329,11,21207,63724,layer2,966507,24,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,تسهیلات، وام و لیزینگ,تسهیلات، وام و لیزینگ,6022806,2026-07-14 15:04:50.156494 +00:00,3255637,2175770,591399,905218,922845,347707,481474,616332,2157831,96,184130,407173,layer2,6022806,24,29.6
مصرف‌کنندگان کسب‌وکارهای B2B,پذیرندگی پرداخت و کارتخوان,پذیرندگی پرداخت و کارتخوان,1218620,2026-07-14 15:04:50.156494 +00:00,721975,421177,75468,161219,190788,69170,104388,115931,501656,10,20503,54955,layer2,1218620,24,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,حمل‌ونقل درون‌شهری: پیک/مرسوله,حمل‌ونقل درون‌شهری: پیک/مرسوله,5896647,2026-07-14 15:04:50.156494 +00:00,3057071,2487223,352353,973305,1156446,357472,407069,608007,2041995,55,107225,245073,layer2,5896647,24,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,خدمات زیبایی و سالن,خدمات زیبایی و سالن,698294,2026-07-14 15:04:50.156494 +00:00,359988,279844,58462,77416,167335,35093,17006,79158,263824,0,3612,54850,layer2,698294,24,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,سایر موارد بر اساس ویژگی‌های جمعیتی,دارندگان اندروید,457782,2026-07-14 15:04:50.156494 +00:00,271321,174969,11492,121804,14778,38387,24553,23740,223028,0,0,11492,layer3,457782,27.2,29.6
مصرف‌کنندگان کسب‌وکارهای B2C,شبکه‌های اجتماعی و دوستیابی,شبکه‌های اجتماعی و دوستیابی,840309,2026-07-14 15:04:50.156494 +00:00,354957,339533,145819,129593,138373,71567,48109,182628,124220,16,37618,108185,layer2,840309,24,30.4
